IdExpediente,Hora,Causa_de_Accidente,Tipo_VehImplicado,Modelo,Marca,Color,TipoCarnet,AntigCarnet,CoordenadaUTM_Y,CoordenadaUTM_X
2012S008168,12,No es causa del peatón,Furgoneta,TRANSIT,FORD,Blanc,B,16,4582396.71,430233.49
2012S008915,21,No es causa del peatón,Motocicleta,ZING 125,KYMCO,Negre,B,20,4586684.89,431413.88
2012S009044,12,No es causa del peatón,Taxi,Altea,SEAT,Altres,BTP,8,4582216.12,430356.47
2012S008793,9,No es causa del peatón,AutobŁs,NL 263,MAN,Vermell,D,18,4587634.73,430903.11
2012S008925,11,No es causa del peatón,Motocicleta,TX 200,VESPA,Negre,A,33,4583286.54,428789.52
2012S008927,10,No es causa del peatón,Turismo,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,4582725.35,428147.36
2012S008927,10,No es causa del peatón,Furgoneta,BERLINGO,CITROEN,Blau,B,35,4582725.35,428147.36
2012S008929,10,No es causa del peatón,Ciclomotor,SCOOPY 50,HONDA,Gris,Desconocido,Desconocido,4582873.21,429950.02
2012S009047,14,No es causa del peatón,Turismo,FOCUS,FORD,Blau,B,17,4581941.63,432458.15
2012S009180,15,No es causa del peatón,Motocicleta,QUANNON,KYMCO,Desconocido,B,6,4582715.81,428106.44
2012S008142,17,No es causa del peatón,Turismo,E 220,MERCEDES,Altres,Desconocido,Desconocido,4588405.67,431170.15
2012S008279,21,No es causa del peatón,Motocicleta,SCOOPY 125,HONDA,Blau,B,5,4582730.82,427843.06
2012S008184,3,No es causa del peatón,Turismo,316,BMW,Blanc,B,4,4585642.23,428143.61
2012S008302,14,No es causa del peatón,Turismo,ASTRA,OPEL,Gris,B,13,4583992.47,426149.95
2012S008303,13,No es causa del peatón,Motocicleta,CB 600,HONDA,Negre,A2,9,4582301.09,432911.5
2012S008304,12,No es causa del peatón,Ciclomotor,SM 50,DERBI,Negre,AM,1,4584541.52,426741.96
2012S008443,14,No es causa del peatón,Motocicleta,ER-6N,KAWASAKI,Verd,A2,2,4583166.49,432144.17
2012S008448,16,No es causa del peatón,Turismo,ASTRA,OPEL,Vermell,B,0,4579368.55,430441.6
2012S008181,20,No es causa del peatón,Furgoneta,VITO,MERCEDES,Blanc,B,52,4589639.8,432321.48
2012S008181,20,No es causa del peatón,Motocicleta,CBR 125,HONDA,Altres,B,4,4589639.8,432321.48
2012S008139,18,No es causa del peatón,Turismo,Cooper,BMW,Blanc,B,8,4580839.03,426853.14
2012S008283,21,No es causa del peatón,Turismo,307,PEUGEOT,Gris,B,18,4585877.1,434007.45
2012S008420,6,No es causa del peatón,Furgoneta,CRAFTER,VOLKSWAGEN,Blanc,Desconocido,Desconocido,4584108.54,432025.71
2012S008422,7,No es causa del peatón,Furgoneta,KANGOO,RENAULT,Gris,B,9,4580721.31,431245.82
2012S008551,11,No es causa del peatón,Furgoneta,TRANSIT,FORD,Blanc,BTP,15,4583641.31,431790.68
2012S008553,8,No es causa del peatón,Ciclomotor,SCOOPY 50,HONDA,Verd,B,22,4582037.28,429043.25
