IdExpediente,Hora,Turno,Causa_de_Accidente,CoordenadaUTM_Y,CoordenadaUTM_X
2013S003124,14,Tarde,No hay causa mediata,4583608.29,431599.81
2013S002339,15,Tarde,No hay causa mediata,4583488.4,431361.07
2013S009005,16,Tarde,No hay causa mediata,4583405.28,431419.04
2013S001343,15,Tarde,No hay causa mediata,4583423.63,431422.94
2013S001632,22,Noche,No hay causa mediata,4583607.79,431099.3
2013S009268,4,Noche,No hay causa mediata,4580914.89,429460.61
2013S009258,18,Tarde,No hay causa mediata,4580914.89,429460.61
2013S003414,18,Tarde,No hay causa mediata,4580915.83,429393.62
2013S002529,8,Matutino,No hay causa mediata,4583636.88,431272.98
2013S000843,9,Matutino,No hay causa mediata,4583820.36,431828.84
2013S006093,11,Matutino,No hay causa mediata,4583891.13,431683.03
2013S002060,12,Matutino,No hay causa mediata,4580914.26,429521.79
2013S007635,13,Matutino,No hay causa mediata,4580717.66,429413.57
2013S002157,16,Tarde,No hay causa mediata,4583735.55,431756.38
2013S004237,6,Matutino,No hay causa mediata,4583730.69,431738.28
2013S005970,12,Matutino,No hay causa mediata,4583753.05,431392.18
2013S000515,16,Tarde,No hay causa mediata,4583683.87,431511.16
2013S003040,20,Tarde,No hay causa mediata,4583192.23,431628.33
2013S008935,19,Tarde,No hay causa mediata,4583219.15,431493.54
2013S006972,14,Tarde,No hay causa mediata,4583277.24,431381.8
2013S006134,13,Matutino,No hay causa mediata,4584523.44,431101.67
2013S000170,4,Noche,Alcoholemia,4584316.57,431008.47
2013S009267,1,Noche,No hay causa mediata,4583936.01,431368.9
2013S007031,14,Tarde,No hay causa mediata,4584091.51,430957.14
2013S002923,9,Matutino,No hay causa mediata,4584028.05,431290.6
2013S000999,3,Noche,Alcoholemia,4584073.25,431336.23
2013S003110,21,Tarde,No hay causa mediata,4583920.67,431159.21
2013S001115,11,Matutino,No hay causa mediata,4583996.88,431101.37
2013S008891,10,Matutino,No hay causa mediata,4584482.69,430836.33
2013S001676,18,Tarde,No hay causa mediata,4583905.83,431143.23
